serviceName,partitionName,activationCriteria,enabled,maxActivationDurationHours,approverName,approverId,stepType,step
"facp","facp_developer_role",,false,,"null","null","null","null"
"facp","facp_developer_role_test",,false,,"null","null","null","null"
"facp","devops_superuser",,false,,"null","null","null","null"
"facp","service_comp_dev",,false,,"null","null","null","null"
"facp","fre_fabsdev_ssh_root",,false,,"null","null","null","null"
"facp","saasfaprod1_tenancy_access",,false,,"null","null","null","null"
"facp","faaas_aiops",,false,,"null","null","null","null"
"facp","deployment_noncommercial",,false,,"null","null","null","null"
"facp","cp_ssh_login_nonprod",,false,,"null","null","null","null"
"facp","fre_com_ssh_login",,false,,"null","null","null","null"
"facp","fieldsvc_bg_oma_readonly_prod",,false,,"null","null","null","null"
"facp","service_comp_partners_nonprod",,false,,"null","null","null","null"
"facp","featureflag_mgmt_noncommercial",,false,,"null","null","null","null"
"facp","jit_faeops_ssh_root",,false,,"null","null","null","null"
"facp","fre_epd_ssh_login",,false,,"null","null","null","null"
"facp","pod_ssh_root_nonprod",,false,,"null","null","null","null"
"facp","pod_move_prod",,false,,"null","null","null","null"
"facp","facp_security_operations_role",,false,,"null","null","null","null"
"facp","jit_jpmc_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"facp","facp_oci_dashboard_viewer",,false,,"null","null","null","null"
"facp","facp-pod-weil_role",,false,,"null","null","null","null"
"facp","facp_volume_resize_prod_role",,false,,"null","null","null","null"
"facp","jit_ubs_ssh_root","OWNER_GROUP_APPROVAL",true,24,"FAaaS-Restricted-POD-JIT-L2-Approvers","fed890c2-6564-48bf-9f3a-9efa4d39366d","ApprovalByGroup",1
"facp","certificate_management_role",,false,,"null","null","null","null"
"facp","facp-pod-vramiset_role",,false,,"null","null","null","null"
"facp","prod-admin","JUSTIFICATION",true,24,"null","null","null","null"
"facp","jit_oal_ewel_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"facp","fre_devqa_ssh_root",,false,,"null","null","null","null"
"facp","pod_ssh_login_noncommercial",,false,,"null","null","null","null"
"facp","facp_customer_support_role",,false,,"null","null","null","null"
"facp","fre_epd_ssh_root",,false,,"null","null","null","null"
"facp","service_comp_sre",,false,,"null","null","null","null"
"facp","facp_orgs_subscription_role",,false,,"null","null","null","null"
"facp","facp-pod-anbhatt_role",,false,,"null","null","null","null"
"facp","dbmove_nonprod",,false,,"null","null","null","null"
"facp","large_essbase_support_role",,false,,"null","null","null","null"
"facp","fsi_attribute_maintainers",,false,,"null","null","null","null"
"facp","jit_ubs_ssh_login","OWNER_GROUP_APPROVAL",true,72,"FAaaS-Restricted-POD-JIT-L2-Approvers","fed890c2-6564-48bf-9f3a-9efa4d39366d","ApprovalByGroup",1
"facp","featureflag_mgmt_nonprod",,false,,"null","null","null","null"
"facp","faaas-dr-provisioning-role",,false,,"null","null","null","null"
"facp","fre_arusch_ssh_login",,false,,"null","null","null","null"
"facp","faeops_ssh_root_nonprod",,false,,"null","null","null","null"
"facp","rules_engine_manage_prod_role",,false,,"null","null","null","null"
"facp","capacity_reservation_deployer",,false,,"null","null","null","null"
"facp","fre_builddev_ssh_root",,false,,"null","null","null","null"
"facp","facp_boot_volume_manager_role",,false,,"null","null","null","null"
"facp","workflow_revival_prod_role",,false,,"null","null","null","null"
"facp","schedule_activity_nonprod_role",,false,,"null","null","null","null"
"facp","saas_cloud_security","JUSTIFICATION",true,24,"null","null","null","null"
"facp","notification_approvers_role",,false,,"null","null","null","null"
"facp","disaster_recovery_nonprod_role",,false,,"null","null","null","null"
"facp","pod_ssh_login_nonprod",,false,,"null","null","null","null"
"facp","tenancy_viewer",,false,,"null","null","null","null"
"facp","general-access",,false,,"null","null","null","null"
"facp","facp_preflight_support_role",,false,,"null","null","null","null"
"facp","facp_limits_admin_commercial",,false,,"null","null","null","null"
"facp","break-glass",,false,,"null","null","null","null"
"facp","facp-pod-yingao_role",,false,,"null","null","null","null"
"facp","facp_datamasking_log_viewer",,false,,"null","null","null","null"
"facp","facp_rats_ondemand_users",,false,,"null","null","null","null"
